# id X_IMAGE Y_IMAGE X_WORLD Y_WORLD FLUX_AUTO_160 FLUXERR_AUTO_160 FLUX_RADIUS_1 FLUX_RADIUS_2 EA_ERR_105 EA_ERR_125 EA_ERR_140 EA_ERR_160 EA_ERR_435 EA_ERR_606 EA_ERR_814 EA_ERR_K FLUXERR_APER_606 FLUXERR_APER_125 FLUXERR_APER_140 FLUXERR_APER_814 FLUXERR_APER_K FLUXERR_APER_435 FLUXERR_APER_160 FLUXERR_APER_105 FLUX_APER_606 FLUX_APER_125 FLUX_APER_140 FLUX_APER_814 FLUX_APER_K FLUX_APER_435 FLUX_APER_160 FLUX_APER_105
28 3182.6 3679.85 3.57346149966 -30.3779271841 45.1386 0.0192535 8.37982 32.2365 0.00339 0.00336 0.00218 0.00393 0.0036 0.00454 0.00307 0.01991 0.00339 0.00351 0.00331 0.00445 0.00582 0.00277 0.00293 0.00234 3.23628 12.82833 14.62774 7.33438 25.20854 0.59935 16.19657 10.43547
29 3125.72 3639.67 3.57456030109 -30.3785968447 23.8866 0.0213237 19.9006 37.9339 0.00337 0.00319 0.00217 0.00398 0.00321 0.00338 0.00265 0.01717 0.00253 0.00227 0.00213 0.00242 0.00583 0.00224 0.00195 0.00163 0.95619 2.89227 3.21235 1.80081 5.42671 0.26671 3.50765 2.4227
30 3095.85 3644.1 3.57513746668 -30.3785230008 23.5673 0.0222135 24.8536 41.126 0.00329 0.00334 0.00212 0.00411 0.00328 0.00332 0.00263 0.01706 0.00251 0.00225 0.00213 0.00235 0.00583 0.00221 0.00195 0.00162 0.82416 2.73897 3.08472 1.69991 5.23487 0.17219 3.34814 2.29871
31 2818.0 3778.02 3.5805053285 -30.3762912285 0.120336 0.0111763 4.14427 6.14441 1.76602 1.30201 1.13458 2.2588 0.00317 0.0035 0.00256 0.01658 0.00231 0.0 0.0 0.00178 0.00581 0.00208 0.04504 0.0 -0.00328 0.00257 0.00338 -0.00686 -0.06812 0.00185 0.07932 0.00147
32 2763.15 3766.21 3.58156489317 -30.3764880674 113.07 0.775868 7.68179 14.8576 1.76602 1.30201 1.13458 2.2588 0.00321 0.00314 0.00265 0.01717 0.00314 0.04871 0.01279 0.00447 0.00581 0.00245 0.09952 0.09482 5.27929 12.0902 0.08359 12.49686 46.62469 0.8963 33.71001 6.68222
33 2729.96 3762.41 3.58220609496 -30.3765514017 0.563698 0.172817 7.25606 9.61893 1.76602 1.30201 1.13458 2.2588 0.00321 0.00316 0.00267 0.01729 0.00233 0.00673 0.00159 0.0018 0.00582 0.0021 0.06821 0.02037 0.00733 0.0268 0.00849 0.0235 0.18659 0.00204 0.1263 0.01634
34 2725.12 3763.26 3.58229973091 -30.3765372266 0.191919 0.0141109 4.71504 6.27106 1.76602 1.30201 1.13458 2.2588 0.00322 0.00336 0.00261 0.01695 0.00235 0.00232 0.0 0.00181 0.00584 0.00213 0.01196 0.00218 0.00168 0.00544 0.00855 0.00925 0.09348 -0.00056 0.10328 0.00519
35 2803.72 3763.95 3.58078120692 -30.3765257524 0.219453 0.0281674 7.47594 10.3386 0.00827 0.00746 0.00531 0.01037 0.00331 0.00322 0.0026 0.01688 0.00233 0.00369 0.00602 0.00179 0.00583 0.00211 0.00544 0.0036 -0.00091 0.02929 0.05228 -0.00111 0.04076 -0.00255 0.03008 0.01947
36 2690.0 3760.0 3.58297811878 -30.3765915422 0.0702777 0.00862239 3.34108 4.85003 1.76602 1.30201 1.13458 2.2588 0.00324 0.00323 0.00266 0.01722 0.00235 0.0 0.0 0.00182 0.00581 0.00213 0.01557 0.0 0.00231 0.00345 0.0057 0.00053 -0.0588 -0.00073 0.06658 0.00357
37 2813.74 3763.73 3.58058758462 -30.376529403 0.0315715 0.00942994 3.05192 4.76465 0.00662 0.00584 0.00425 0.00733 0.0032 0.00346 0.00264 0.01709 0.00234 0.00314 0.00384 0.0018 0.00583 0.00211 0.00385 0.00297 -0.00242 0.01967 0.02826 -0.00735 -0.01908 -0.00569 0.01484 0.02381
